title	url	year	keyword	anthology_id
Multi-Modal Sequence Fusion via Recursive Attention for Emotion Recognition	https://aclanthology.org/K18-1025	2018	emotion recognition	K18-1025
Understanding Emotions: A Dataset of Tweets to Study Interactions between Affect Categories	https://aclanthology.org/L18-1030/	2018	emotion classification	L18-1030
"Construction of a {C}hinese Corpus for the Analysis of the Emotionality of Metaphorical Expressions"	https://aclanthology.org/P18-2024	2018	emotion analysis	P18-2024
"{EMTC}: Multilabel Corpus in Movie Domain for Emotion Analysis in Conversational Text"	https://aclanthology.org/L18-1418	2018	emotion analysis	L18-1418
"Joint Learning for Emotion Classification and Emotion Cause Detection"	https://aclanthology.org/D18-1066	2018	emotion analysis	D18-1066
"Who Feels What and Why? Annotation of a Literature Corpus with Semantic Roles of Emotions"	https://aclanthology.org/C18-1114	2018	emotion analysis	C18-1114
{E}mo{N}et: Fine-Grained Emotion Detection with Gated Recurrent Neural Networks	https://aclanthology.org/P17-1067	2017	emotion detection	P17-1067
A Question Answering Approach for Emotion Cause Extraction	https://aclanthology.org/D17-1167	2017	emotion classification	D17-1167
Reusing Neural Speech Representations for Auditory Emotion Recognition	https://aclanthology.org/I17-1043	2017	emotion recognition	I17-1043
"Learning Kernels over Strings using {G}aussian Processes"	https://aclanthology.org/I17-2012	2017	emotion analysis	I17-2012
"Modelling Representation Noise in Emotion Analysis using {G}aussian Processes"	https://aclanthology.org/I17-2024	2017	emotion analysis	I17-2024
"{E}mo{B}ank: Studying the Impact of Annotation Perspective and Representation Format on Dimensional Emotion Analysis"	https://aclanthology.org/E17-2092	2017	emotion analysis	E17-2092
{E}mo{T}weet-28: A Fine-Grained Emotion Corpus for Sentiment Analysis	https://aclanthology.org/L16-1183	2016	emotion classification	L16-1183
Exploring Fine-Grained Emotion Detection in Tweets	https://aclanthology.org/N16-2011	2016	emotion detection	N16-2011
A Bilingual Attention Network for Code-switched Emotion Prediction	https://aclanthology.org/C16-1153	2016	emotion prediction	C16-1153
Distant supervision for emotion detection using {F}acebook reactions	https://aclanthology.org/W16-4304	2016	emotion detection	W16-4304
"Feelings from the {P}ast{---}{A}dapting Affective Lexicons for Historical Emotion Analysis"	https://aclanthology.org/W16-4008	2016	emotion analysis	W16-4008
"Crowdsourcing-based Annotation of Emotions in {F}ilipino and {E}nglish Tweets"	https://aclanthology.org/W16-3708	2016	emotion analysis	W16-3708
"Emotion Analysis on {T}witter: The Hidden Challenge"	https://aclanthology.org/L16-1624	2016	emotion analysis	L16-1624
Sentence-level Emotion Classification with Label and Context Dependence	https://aclanthology.org/P15-1101	2015	emotion classification	P15-1101
"{JEAM}: A Novel Model for Cross-Domain Sentiment Classification Based on Emotion Analysis"	https://aclanthology.org/D15-1297	2015	emotion analysis	D15-1297
"Computational Analysis of Affect and Emotion in Language"	https://aclanthology.org/D15-2008	2015	emotion analysis	D15-2008
"Depeche Mood: a Lexicon for Emotion Analysis from Crowd Annotated News"	https://aclanthology.org/P14-2070	2014	emotion analysis	P14-2070
"Joint Emotion Analysis via Multi-task {G}aussian Processes"	https://aclanthology.org/D14-1190	2014	emotion analysis	D14-1190
